Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Fox corp class a,FOXA,"",3928031.0,143923000.0,18.5902,7.53,1,2090242.0,113.736778,addition,0.8188004,Q1 2019,COMMUNICATIONS,13F,06/30/2019,36.6728
Charter communications inc,CHTR,"",306395.0,121081000.0,15.6398,23.1804,2,-292274.0,-48.820634,reduction,0.1371447,Q2 2016,COMMUNICATIONS,13F,06/30/2019,312.9888
Comcast corp.  class a,CMCSA,"",2859706.0,120908000.0,15.6174,21.8607,3,-2039235.0,-41.626037,reduction,0.0615717,Q1 2016,COMMUNICATIONS,13F,06/30/2019,35.2232
Microsoft corp.,MSFT,"",642273.0,86039000.0,11.1135,12.6219,4,-316565.0,-33.015483,reduction,0.0083414,Q3 2015,INFORMATION TECHNOLOGY,13F,06/30/2019,84.9033
Cheniere energy inc,LNG,"",686549.0,46994000.0,6.0701,8.263,5,-396426.0,-36.605277,reduction,0.2667142,Q4 2017,ENERGY,13F,06/30/2019,60.9497
Altaba inc. (yahoo),AABA,"",642622.0,44579000.0,5.7582,3.5029,6,219200.0,51.768685,addition,0.1066416,Q4 2017,FINANCE,13F,06/30/2019,70.4171
Fox corp,FOX,"",1194725.0,43643000.0,5.6373,4.9952,7,-52613.0,-4.218023,reduction,0.2490411,Q1 2019,COMMUNICATIONS,13F,06/30/2019,35.88
Altice usa inc,ATUS,"",1576013.0,38376000.0,4.9569,6.2045,8,-1011933.0,-39.101782,reduction,0.2334730,Q2 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,24.085
Kansas city southern industries inc.,KSU,"",277713.0,33831000.0,4.3699,5.8597,9,-174950.0,-38.649061,reduction,0.2751268,Q3 2018,TRANSPORTS,13F,06/30/2019,101.9972
Westinghouse air brake technologies corp,WAB,"",406735.0,29187000.0,3.77,,10,406735.0,,new,0.4210071,Q2 2019,INDUSTRIALS,13F,06/30/2019,71.76
Gci liberty inc. (liberty interactive corp.),GLIBA,"",312086.0,19181000.0,2.4776,1.8204,11,18792.0,6.407223,addition,0.3087515,Q2 2018,COMMUNICATIONS,13F,06/30/2019,
Gamestop corp.  class a,GME,"",2551125.0,13955000.0,1.8025,,12,2551125.0,,new,2.4944999,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,5.47
Liberty broadband corp class c,LBRDK,"",115536.0,12041000.0,1.5553,1.7256,13,-52980.0,-31.439151,reduction,0.0636808,Q3 2018,COMMUNICATIONS,13F,06/30/2019,80.9327
Facebook inc,FB,"",56194.0,10845000.0,1.4008,1.0802,14,-1866.0,-3.213917,reduction,0.0019686,Q1 2018,COMMUNICATIONS,13F,06/30/2019,166.69
Par technology corp.,PAR,"",182582.0,5149000.0,0.6651,,15,182582.0,,new,1.1242734,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,28.2
Potbelly corp,PBPB,"",875130.0,4454000.0,0.5753,0.8099,16,22481.0,2.636607,addition,3.6555138,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,8.4221
Walt disney co. (the),DIS,"",0.0,0.0,,0.1415,"",-11420.0,-100.0,soldall,0.0000000,Q1 2019,COMMUNICATIONS,13F,06/30/2019,111.03
Lendingtree inc,TREE,"",0.0,0.0,,0.4042,"",-10299.0,-100.0,soldall,0.0000000,Q4 2018,FINANCE,13F,06/30/2019,219.57
