Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Microsoft corp.,MSFT,"",9344955.0,1251850000.0,3.10665,2.8403,1,-286200.0,-2.971606,reduction,0.1213664,Q4 2001,INFORMATION TECHNOLOGY,13F,06/30/2019,31.2628
Celgene corp.,CELG,"",13373298.0,1236228000.0,3.06788,2.0945,2,4494647.0,50.623085,addition,1.9040518,Q4 2006,HEALTH CARE,13F,06/30/2019,93.327
Amazon.com inc.,AMZN,"",566683.0,1073088000.0,2.66302,2.2317,3,65500.0,13.069079,addition,0.1153671,Q2 2007,CONSUMER DISCRETIONARY,13F,06/30/2019,680.9116
Apple inc,AAPL,"",5326889.0,1054298000.0,2.61639,2.5643,4,-71995.0,-1.333516,reduction,0.1083772,Q4 2001,INFORMATION TECHNOLOGY,13F,06/30/2019,88.1248
Anadarko petroleum corp.,APC,"",11062619.0,780578000.0,1.93712,1.0925,5,1455889.0,15.154886,addition,2.2143839,Q1 2007,ENERGY,13F,06/30/2019,59.601
Facebook inc,FB,"",2932235.0,565921000.0,1.40441,1.2469,6,-59400.0,-1.985536,reduction,0.1027236,Q4 2013,COMMUNICATIONS,13F,06/30/2019,92.582
Berkshire hathaway inc class b,BRK.B,"",2261669.0,482120000.0,1.19645,1.1646,7,-56700.0,-2.445685,reduction,0.0918832,Q3 2011,FINANCE,13F,06/30/2019,84.7427
Jpmorgan chase & co. (chemical bank),JPM,"",3627907.0,405600000.0,1.00655,0.961,8,-168700.0,-4.443441,reduction,0.1057095,Q4 2001,FINANCE,13F,06/30/2019,63.3098
Mastercard inc,MA,"",1425610.0,377117000.0,0.93587,0.8555,9,-27400.0,-1.885741,reduction,0.1389605,Q2 2008,FINANCE,13F,06/30/2019,112.8229
Walt disney co. (the),DIS,"",2561910.0,357745000.0,0.887796,0.6215,10,323330.0,14.443531,addition,0.1718503,Q4 2001,COMMUNICATIONS,13F,06/30/2019,100.0434
