Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Spdr s&p 500 etf trust,SPY,CALL,18206800.0,5334592000.0,57.6046,,1,18206800.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,
Invesco qqq trust series 1,QQQ,CALL,8261400.0,1542734000.0,16.6589,,2,8261400.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,
Pg&e corp. (pacific gas & electric),PCG,"",16828015.0,385698000.0,4.1649,11.7876,3,-6270985.0,-27.148296,reduction,3.1897822,Q4 2017,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,23.1856
Facebook inc,FB,"",1850000.0,357050000.0,3.8555,9.5577,4,-150000.0,-7.5,reduction,0.0648102,Q1 2016,COMMUNICATIONS,13F,06/30/2019,158.9612
Amazon.com inc.,AMZN,"",185000.0,350322000.0,3.7829,8.4237,5,20000.0,12.121212,addition,0.0376629,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,1792.9532
Alphabet inc. class c,GOOG,"",215000.0,232396000.0,2.5095,4.8775,6,70000.0,48.275862,addition,0.0309691,Q2 2014,COMMUNICATIONS,13F,06/30/2019,875.3887
Allergan plc,AGN,"",1295000.0,216822000.0,2.3413,13.1542,7,-1838864.0,-58.677211,reduction,0.3893449,Q4 2015,HEALTH CARE,13F,06/30/2019,163.3645
Caesars entertainment corp,CZR,"",11200000.0,132384000.0,1.4295,3.4249,8,-2547240.0,-18.529101,reduction,1.6648829,Q4 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,11.5587
Energy transfer equity lp,ET,"",5852527.0,82404000.0,0.8898,2.9513,9,-845236.0,-12.619676,reduction,0.5053079,Q2 2017,ENERGY,13F,06/30/2019,15.3646
Unitedhealth group inc.,UNH,"",335000.0,81743000.0,0.8827,1.7722,10,85000.0,34.0,addition,0.0349126,Q1 2017,HEALTH CARE,13F,06/30/2019,199.7263
Salesforce.com inc.,CRM,"",500000.0,75865000.0,0.8192,0.9081,11,300000.0,150.0,addition,0.0648702,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,154.386
Altaba inc. (yahoo),AABA,"",1050000.0,72839000.0,0.7865,4.9936,12,-1300000.0,-55.319149,reduction,0.1742449,Q3 2016,FINANCE,13F,06/30/2019,59.4742
Alerian mlp etf,AMLP,"",6550000.0,64518000.0,0.6967,2.1566,13,-950000.0,-12.666667,reduction,No Data,Q1 2018,FINANCE,13F,06/30/2019,8.8051
T-mobile us inc,TMUS,"",700000.0,51898000.0,0.5604,1.782,14,-199548.0,-22.183141,reduction,0.0823316,Q4 2017,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,63.3357
