Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Ishares nasdaq biotechnology index fund,IBB,PUT,1000000.0,109100000.0,37.8693,24.7428,1,500000.0,100.0,addition,No Data,Q1 2019,HEALTH CARE,13F,06/30/2019,
Spdr s&p biotech etf,XBI,PUT,500000.0,43855000.0,15.2224,20.0377,2,0.0,0.0,,No Data,Q2 2018,HEALTH CARE,13F,06/30/2019,
Uniqure n.v.,QURE,"",364596.0,28493000.0,9.8901,9.6262,3,0.0,0.0,,0.9645397,Q4 2018,HEALTH CARE,13F,06/30/2019,28.82
Merus bv,MRUS,"",1391497.0,20385000.0,7.0758,9.7506,4,-100000.0,-6.704673,reduction,6.1164703,Q2 2018,HEALTH CARE,13F,06/30/2019,21.5249
Arrowhead pharmaceuticals inc,ARWR,"",557455.0,14773000.0,5.1278,7.9797,5,-425000.0,-43.258979,reduction,0.5917153,Q4 2018,INDUSTRIALS,13F,06/30/2019,12.42
Spero therapeutics inc,SPRO,"",1154356.0,13287000.0,4.612,5.9781,6,100000.0,9.484463,addition,6.5873480,Q2 2018,HEALTH CARE,13F,06/30/2019,11.2657
Fate therapeutics inc,FATE,"",602096.0,12223000.0,4.2427,5.4213,7,-95000.0,-13.627965,reduction,0.9236018,Q2 2018,HEALTH CARE,13F,06/30/2019,13.3729
Synlogic inc,SYBX,"",1043922.0,9500000.0,3.2975,4.6932,8,-353094.0,-25.274872,reduction,4.1115479,Q2 2018,HEALTH CARE,13F,06/30/2019,11.2179
Xenon pharmaceuticals inc,XENE,"",951527.0,9382000.0,3.2566,4.2793,9,0.0,0.0,,3.6923826,Q3 2018,HEALTH CARE,13F,06/30/2019,10.6025
Bicycle therapeutics ltd,BCYC,"",737529.0,7420000.0,2.5755,,10,737529.0,,new,No Data,Q2 2019, ,13F,06/30/2019,10.06
Pieris pharmaceuticals inc,PIRS,"",1451850.0,6824000.0,2.3687,1.7953,11,241013.0,19.904661,addition,2.9539166,Q2 2018,HEALTH CARE,13F,06/30/2019,5.0086
Proqr therapeutics n.v.,PRQR,"",748861.0,6815000.0,2.3655,2.9882,12,262163.0,53.865642,addition,1.9265783,Q1 2019,HEALTH CARE,13F,06/30/2019,12.2001
Galapagos nv adr,GLPG,"",46840.0,6039000.0,2.0962,1.1384,13,25000.0,114.468864,addition,0.0914130,Q2 2018,HEALTH CARE,13F,06/30/2019,111.7684
Cytomx therapeutics inc,CTMX,"",0.0,0.0,,0.4842,"",-101767.0,-100.0,soldall,0.0000000,Q2 2018,HEALTH CARE,13F,06/30/2019,22.6985
Blueprint medicines corp,BPMC,"",0.0,0.0,,1.0849,"",-30618.0,-100.0,soldall,0.0000000,Q1 2019,HEALTH CARE,13F,06/30/2019,80.05
