Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
United technologies corp. (united aircraft corp.),UTX,"",1883732.0,245262000.0,1.5674,0.622,1,1157940.0,159.541577,addition,0.2184468,Q1 2016,INDUSTRIALS,13F,06/30/2019,130.1595
Citigroup  inc.,C,"",2585216.0,181043000.0,1.157,0.2763,2,1917339.0,287.079657,addition,0.1005893,Q3 2018,FINANCE,13F,06/30/2019,68.6049
Fidelity national information services inc,FIS,"",1237477.0,151814000.0,0.9702,0.9288,3,2343.0,0.189696,addition,0.3832147,Q3 2015,FINANCE,13F,06/30/2019,110.2052
Dollar tree inc.,DLTR,"",1227093.0,131778000.0,0.8422,0.1267,4,1045697.0,576.471918,addition,0.5144613,Q1 2014,CONSUMER DISCRETIONARY,13F,06/30/2019,104.8465
Mcdonalds corp.,MCD,"",629888.0,130803000.0,0.8359,1.2197,5,-336115.0,-34.794405,reduction,0.0823039,Q3 2014,CONSUMER DISCRETIONARY,13F,06/30/2019,189.6943
Walmart inc,WMT,"",1175389.0,129869000.0,0.83,0.0859,6,1042898.0,787.146297,addition,0.0396772,Q4 2015,CONSUMER STAPLES,13F,06/30/2019,107.69
Amazon.com inc.,AMZN,"",62987.0,119274000.0,0.7623,0.3419,7,34111.0,118.129242,addition,0.0128231,Q1 2014,CONSUMER DISCRETIONARY,13F,06/30/2019,1696.089
Ingersoll-rand co. ltd.,IR,"",916723.0,116121000.0,0.7421,0.4246,8,325197.0,54.975944,addition,0.3785452,Q2 2015,INDUSTRIALS,13F,06/30/2019,111.1576
Norfolk southern corp.,NSC,"",552879.0,110205000.0,0.7043,0.0968,9,474951.0,609.47413,addition,0.2067146,Q3 2015,TRANSPORTS,13F,06/30/2019,197.3538
Electronic arts  inc.,EA,"",994975.0,100751000.0,0.6439,0.2585,10,612486.0,160.131664,addition,0.3321011,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,101.4022
Anheuser-busch inbev sa adr,BUD,"",1123209.0,99415000.0,0.6354,0.5365,11,162297.0,16.889892,addition,0.0663349,Q1 2019,CONSUMER STAPLES,13F,06/30/2019,84.626
Baxter international inc.,BAX,"",1209969.0,99096000.0,0.6333,0.1001,12,1024852.0,553.623924,addition,0.2367289,Q4 2016,HEALTH CARE,13F,06/30/2019,79.3524
Red hat inc,RHT,"",520900.0,97804000.0,0.6251,0.3589,13,225451.0,76.307925,addition,0.2930356,Q4 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,183.1095
Visa inc,V,"",562991.0,97707000.0,0.6244,0.7168,14,-127202.0,-18.429917,reduction,0.0280461,Q2 2015,FINANCE,13F,06/30/2019,134.3913
American international group  inc.,AIG,"",1810130.0,96444000.0,0.6164,,15,1810130.0,,new,0.2081231,Q2 2019,FINANCE,13F,06/30/2019,53.28
Laboratory corp of america holdings,LH,"",557585.0,96406000.0,0.6161,0.095,16,464161.0,496.83272,addition,0.5650436,Q4 2013,HEALTH CARE,13F,06/30/2019,165.4246
General motors co,GM,"",2427746.0,93541000.0,0.5978,0.0542,17,2207859.0,1004.088009,addition,0.1711621,Q1 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,38.0699
Burlington stores inc,BURL,"",549561.0,93508000.0,0.5976,0.2148,18,343342.0,166.493873,addition,0.8274029,Q4 2014,CONSUMER DISCRETIONARY,13F,06/30/2019,165.0955
Spdr s&p 500 etf trust,SPY,"",319049.0,93481000.0,0.5974,0.1318,19,248887.0,354.731906,addition,No Data,Q4 2014,FINANCE,13F,06/30/2019,287.4906
Raytheon co.,RTN,"",522384.0,90832000.0,0.5805,0.0226,20,503709.0,2697.236948,addition,0.1850850,Q4 2017,INDUSTRIALS,13F,06/30/2019,173.8185
Anadarko petroleum corp.,APC,"",1215927.0,85796000.0,0.5483,0.0363,21,1095880.0,912.87579,addition,0.2433898,Q3 2018,ENERGY,13F,06/30/2019,70.249
Kimberly-clark corp.,KMB,"",635150.0,84653000.0,0.541,,22,635150.0,,new,0.1845776,Q4 2016,CONSUMER STAPLES,13F,06/30/2019,133.28
Arthur j. gallagher & co inc,AJG,"",962918.0,84342000.0,0.539,0.5669,23,-128739.0,-11.79299,reduction,0.5198499,Q1 2016,FINANCE,13F,06/30/2019,66.1744
Deere & co.,DE,"",493469.0,81773000.0,0.5226,,24,493469.0,,new,0.1549402,Q2 2016,INDUSTRIALS,13F,06/30/2019,165.71
Eog resources inc,EOG,"",875021.0,81517000.0,0.521,0.0443,25,804996.0,1149.58372,addition,0.1508501,Q4 2018,ENERGY,13F,06/30/2019,92.7671
Regeneron pharmaceuticals inc.,REGN,"",259047.0,81082000.0,0.5182,0.284,26,155008.0,148.990282,addition,0.2370489,Q1 2017,HEALTH CARE,13F,06/30/2019,348.1798
New residential investment corp.,NRZ,"",5259116.0,80938000.0,0.5173,0.4087,27,1624073.0,44.678234,addition,1.2659452,Q4 2018,REAL ESTATE,13F,06/30/2019,15.9958
Netflix inc,NFLX,"",220011.0,80814000.0,0.5165,0.2847,28,99918.0,83.20052,addition,0.0503919,Q2 2014,COMMUNICATIONS,13F,06/30/2019,369.0257
Goldman sachs group inc,GS,"",390567.0,79910000.0,0.5107,0.023,29,372558.0,2068.732301,addition,0.1064912,Q3 2014,FINANCE,13F,06/30/2019,202.8686
Raymond james financial inc.,RJF,"",936840.0,79210000.0,0.5062,0.5759,30,-140368.0,-13.030724,reduction,0.6642371,Q1 2019,FINANCE,13F,06/30/2019,80.41
Kb home inc.,KBH,"",2881172.0,74133000.0,0.4738,0.0604,31,2505382.0,666.697358,addition,3.3067508,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,25.5265
Devon energy corp.,DVN,"",2507426.0,71512000.0,0.457,0.1132,32,1967751.0,364.617779,addition,0.5720799,Q2 2016,ENERGY,13F,06/30/2019,28.3615
Hartford financial services group,HIG,"",1271365.0,70840000.0,0.4527,0.5782,33,-477777.0,-27.314935,reduction,0.3524325,Q3 2013,FINANCE,13F,06/30/2019,51.9311
Vaneck vect semiconductor etf,SMH,PUT,660700.0,70794000.0,0.4524,,34,660700.0,,new,No Data,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,
U.s. bancorp (first national bank of cincinnati),USB,"",1342503.0,70347000.0,0.4496,0.4115,35,58190.0,4.530827,addition,0.0838928,Q3 2016,FINANCE,13F,06/30/2019,49.2288
Voya financial inc,VOYA,"",1269086.0,70180000.0,0.4485,0.5812,36,-480469.0,-27.462355,reduction,0.8805759,Q3 2014,FINANCE,13F,06/30/2019,48.2584
Apartment investment and management co,AIV,"",1396811.0,70008000.0,0.4474,0.3181,37,445430.0,46.819308,addition,0.9681923,Q4 2016,REAL ESTATE,13F,06/30/2019,47.7905
Lyft inc,LYFT,"",1059901.0,69646000.0,0.4451,0.1713,38,730895.0,222.152484,addition,0.3647159,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,69.615
S&p global inc. (mcgraw-hill inc.),SPGI,"",303226.0,69072000.0,0.4414,0.6636,39,-170804.0,-36.032319,reduction,0.1232225,Q3 2015,COMMUNICATIONS,13F,06/30/2019,205.9638
Ulta beauty inc,ULTA,"",195376.0,67774000.0,0.4331,0.0402,40,178050.0,1027.646312,addition,0.3325549,Q3 2013,CONSUMER DISCRETIONARY,13F,06/30/2019,338.4828
Markel corp. (holding co.),MKL,"",61574.0,67091000.0,0.4288,0.1651,41,36649.0,147.037111,addition,0.4439366,Q1 2019,FINANCE,13F,06/30/2019,1051.8081
Suntrust banks  inc.,STI,"",1066484.0,67029000.0,0.4284,,42,1066484.0,,new,0.2406001,Q3 2016,FINANCE,13F,06/30/2019,62.85
Broadcom ltd. (avago technologies),AVGO,"",232805.0,67015000.0,0.4283,0.2646,43,100485.0,75.940901,addition,0.0588114,Q1 2015,INFORMATION TECHNOLOGY,13F,06/30/2019,278.8043
Quest diagnostics  inc.,DGX,"",646737.0,65844000.0,0.4208,0.0453,44,571015.0,754.093923,addition,0.4805595,Q1 2016,HEALTH CARE,13F,06/30/2019,100.4179
Pvh corp. (phillips jones - phillips van heusen corp.),PVH,"",679593.0,64317000.0,0.411,0.3068,45,301185.0,79.592662,addition,0.9043154,Q3 2014,CONSUMER DISCRETIONARY,13F,06/30/2019,103.6497
