Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Liberty global plc class c,LBTYK,"",41937674.0,1112606000.0,10.0713,7.9524,1,2844679.0,7.276698,addition,5.6512160,Q3 2018,COMMUNICATIONS,13F,06/30/2019,23.7665
Viasat inc.,VSAT,"",13732068.0,1109826000.0,10.0462,8.9421,2,0.0,0.0,,22.7051389,Q2 2008,INFORMATION TECHNOLOGY,13F,06/30/2019,38.0449
Fox corp class a,FOXA,"",27322720.0,1001104000.0,9.062,8.4277,3,0.0,0.0,,5.6954370,Q1 2019,COMMUNICATIONS,13F,06/30/2019,36.71
Ebay inc.,EBAY,"",24146000.0,953767000.0,8.6335,9.1391,4,-5140000.0,-17.551048,reduction,2.6392532,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,30.6362
Cheniere energy inc,LNG,"",10674135.0,730645000.0,6.6138,7.2478,5,-1944173.0,-15.407557,reduction,4.1467445,Q1 2014,ENERGY,13F,06/30/2019,60.2063
Allergan plc,AGN,"",3679549.0,616067000.0,5.5767,5.8677,6,-1090146.0,-22.855675,reduction,1.1062653,Q1 2016,HEALTH CARE,13F,06/30/2019,206.1731
Bristol-myers squibb co,BMY,"",13000000.0,589550000.0,5.3366,1.6035,7,9000000.0,225.0,addition,0.7962369,Q1 2019,HEALTH CARE,13F,06/30/2019,46.0762
Qorvo inc,QRVO,"",8681181.0,578253000.0,5.2344,6.3821,8,-1907901.0,-18.017624,reduction,7.3538170,Q1 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,67.3393
Pg&e corp. (pacific gas & electric),PCG,"",24500000.0,561540000.0,5.0831,3.6643,9,0.0,0.0,,4.6440215,Q1 2018,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,35.2447
Cbs corp,CBS,"",10000000.0,499000000.0,4.517,3.4114,10,1457984.0,17.068383,addition,2.6680185,Q4 2018,COMMUNICATIONS,13F,06/30/2019,46.9051
Mckesson corp.,MCK,"",2595011.0,348744000.0,3.1568,2.7688,11,-220000.0,-7.815245,reduction,1.3527660,Q4 2016,HEALTH CARE,13F,06/30/2019,135.7491
Synchrony financial,SYF,"",9260557.0,321064000.0,2.9063,3.8224,12,-5000000.0,-35.061744,reduction,1.3434337,Q3 2016,FINANCE,13F,06/30/2019,29.4706
Tesla inc,TSLA,PRN,300000000.0,295542000.0,2.6753,2.7587,13,0.0,0.0,,N/A,Q1 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,
Colony capital inc,CLNY,"",49687370.0,248437000.0,2.2489,2.2211,14,0.0,0.0,,9.1931931,Q3 2016,REAL ESTATE,13F,06/30/2019,13.0082
Univar inc,UNVR,"",9500000.0,209380000.0,1.8953,1.7689,15,0.0,0.0,,5.5974546,Q3 2018,MATERIALS,13F,06/30/2019,20.1487
Fox corp,FOX,"",5680307.0,207502000.0,1.8783,1.7125,16,0.0,0.0,,1.1840633,Q1 2019,COMMUNICATIONS,13F,06/30/2019,35.88
Liberty global plc class a,LBTYA,"",7440705.0,200825000.0,1.8179,1.038,17,2483500.0,50.098796,addition,1.0026553,Q3 2018,COMMUNICATIONS,13F,06/30/2019,28.2825
Amerisourcebergen corp (holding co),ABC,"",2214192.0,188782000.0,1.7089,1.6065,18,-190107.0,-7.906962,reduction,1.0489327,Q4 2016,CONSUMER STAPLES,13F,06/30/2019,88.343
Takeda pharmaceutical co ltd,TAK,"",9438003.0,167053000.0,1.5122,1.8261,19,-1231018.0,-11.538247,reduction,0.6040863,Q1 2019,HEALTH CARE,13F,06/30/2019,20.37
Antero resources corp,AR,"",28587791.0,158090000.0,1.431,2.121,20,0.0,0.0,,9.2481208,Q3 2014,ENERGY,13F,06/30/2019,24.741
Theravance biopharma inc,TBPH,"",9309168.0,152019000.0,1.3761,1.7732,21,0.0,0.0,,16.5820591,Q2 2014,HEALTH CARE,13F,06/30/2019,30.3512
Nexstar broadcasting group inc,NXST,"",1397755.0,141173000.0,1.2779,0.9106,22,397755.0,39.7755,addition,3.0552022,Q4 2018,COMMUNICATIONS,13F,06/30/2019,86.0664
Atara biotherapeutics inc,ATRA,"",7000000.0,140770000.0,1.2743,2.1311,23,619481.0,9.708944,addition,15.1122625,Q4 2014,HEALTH CARE,13F,06/30/2019,33.3035
Akebia therapeutics inc,AKBA,"",24471453.0,118442000.0,1.0721,1.684,24,0.0,0.0,,20.7631537,Q4 2018,HEALTH CARE,13F,06/30/2019,5.53
Translate bio inc,TBIO,"",8844239.0,109372000.0,0.99,0.5372,25,2352941.0,36.24762,addition,No Data,Q2 2018,HEALTH CARE,13F,06/30/2019,11.2759
