Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Apple inc,AAPL,"",249589329.0,49398720000.0,23.7392,23.7661,1,0.0,0.0,,5.0779699,Q1 2016,INFORMATION TECHNOLOGY,13F,06/30/2019,149.2582
Bank of america corp. (north carolina national bank),BAC,"",927248600.0,26890210000.0,12.9224,12.3946,2,31081000.0,3.468213,addition,9.0519002,Q3 2017,FINANCE,13F,06/30/2019,26.3293
Coca cola co.,KO,"",400000000.0,20368000000.0,9.7881,9.3963,3,0.0,0.0,,9.3766629,Q1 2001,CONSUMER STAPLES,13F,06/30/2019,22.58
Wells fargo & co.  (northwest bancorporation),WFC,"",409803773.0,19391913000.0,9.31903,9.9265,4,0.0,0.0,,8.4014919,Q1 2001,FINANCE,13F,06/30/2019,30.5341
American express co,AXP,"",151610700.0,18714825000.0,8.99364,8.307,5,0.0,0.0,,17.9767718,Q1 2001,FINANCE,13F,06/30/2019,36.1499
Kraft heinz co. (the),KHC,"",325634818.0,10107705000.0,4.85738,5.3297,6,0.0,0.0,,26.6926913,Q3 2015,CONSUMER STAPLES,13F,06/30/2019,70.58
U.s. bancorp (first national bank of cincinnati),USB,"",132459618.0,6940884000.0,3.33553,3.1238,7,3150787.0,2.436637,addition,8.2773811,Q1 2006,FINANCE,13F,06/30/2019,39.958
Jpmorgan chase & co. (chemical bank),JPM,"",59514932.0,6653769000.0,3.19755,3.0201,8,0.0,0.0,,1.7341383,Q3 2018,FINANCE,13F,06/30/2019,107.3108
Moodys corp,MCO,"",24669778.0,4818254000.0,2.31547,2.2395,9,0.0,0.0,,13.0659277,Q1 2001,FINANCE,13F,06/30/2019,13.78
Delta air lines inc.,DAL,"",70910456.0,4024169000.0,1.93386,1.836,10,0.0,0.0,,10.4441352,Q3 2016,TRANSPORTS,13F,06/30/2019,48.9158
Goldman sachs group inc,GS,"",18353635.0,3755154000.0,1.80459,1.7664,11,0.0,0.0,,5.0042630,Q4 2013,FINANCE,13F,06/30/2019,195.7279
Bank of new york mellon corp,BK,"",80937250.0,3573379000.0,1.71723,2.0461,12,0.0,0.0,,8.4765249,Q3 2010,FINANCE,13F,06/30/2019,43.9029
General motors co,GM,"",72269696.0,2784551000.0,1.33815,1.3441,13,0.0,0.0,,5.0951922,Q1 2012,CONSUMER DISCRETIONARY,13F,06/30/2019,31.8192
Southwest airlines co.,LUV,"",53649213.0,2724307000.0,1.3092,1.3961,14,0.0,0.0,,9.8789694,Q4 2016,TRANSPORTS,13F,06/30/2019,50.3124
Verisign inc.,VRSN,"",12952745.0,2709196000.0,1.30194,1.1789,15,0.0,0.0,,10.8191990,Q4 2012,COMMUNICATIONS,13F,06/30/2019,44.8664
Davita healthcare partners inc,DVA,"",38565570.0,2158129297.2,1.03712,1.0496,16,0.0,0.0,,23.1764243,,HEALTH CARE,13D,08/22/2019,
Charter communications inc,CHTR,"",5426609.0,2144487000.0,1.03056,0.9931,17,-284102.0,-4.974897,reduction,2.4289911,Q2 2014,COMMUNICATIONS,13F,06/30/2019,165.1433
United airlines holdings inc,UAL,"",21938642.0,1920728000.0,0.92303,0.8774,18,0.0,0.0,,8.2250373,Q3 2016,TRANSPORTS,13F,06/30/2019,69.6843
Visa inc,V,"",10562460.0,1833115000.0,0.880926,0.827,19,0.0,0.0,,0.5261814,Q3 2011,FINANCE,13F,06/30/2019,38.554
American airlines group inc,AAL,"",43700000.0,1425057000.0,0.684829,0.6958,20,0.0,0.0,,9.7314390,Q3 2016,TRANSPORTS,13F,06/30/2019,41.9042
Mastercard inc,MA,"",4934756.0,1305391000.0,0.627322,0.5824,21,0.0,0.0,,0.4810126,Q1 2011,FINANCE,13F,06/30/2019,40.6454
Pnc financial services group  inc. (the) (provident national trust co.),PNC,"",8671054.0,1190362000.0,0.572043,0.5332,22,0.0,0.0,,1.9115659,Q3 2018,FINANCE,13F,06/30/2019,130.7156
Liberty sirius xm group  series c,LSXMK,"",31090985.0,1180836000.0,0.567465,0.596,23,0.0,0.0,,14.7476449,Q2 2016,COMMUNICATIONS,13F,06/30/2019,34.1305
Costco co.,COST,"",4333363.0,1145135000.0,0.550309,0.526,24,0.0,0.0,,0.9865593,Q1 2001,CONSUMER STAPLES,13F,06/30/2019,39.25
Amazon.com inc.,AMZN,"",537300.0,1017447000.0,0.488947,0.4314,25,54000.0,11.173184,addition,0.1093852,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,1792.0947
Red hat inc,RHT,"",5171890.0,971074000.0,0.466662,0.468,26,61419.0,1.201827,addition,2.9094791,Q4 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,177.0598
M&t bank corp. (buffalo  ny) (manufacturers & traders trust),MTB,"",5382040.0,915324000.0,0.43987,0.4236,27,0.0,0.0,,3.8870721,Q1 2001,FINANCE,13F,06/30/2019,69.9099
Travelers companies  inc. (the) (st. paul fire and marine insurance),TRV,"",5958391.0,890899000.0,0.428133,0.4097,28,0.0,0.0,,2.2621933,Q3 2018,FINANCE,13F,06/30/2019,125.6736
Sirius xm holdings inc,SIRI,"",137915729.0,769570000.0,0.369826,0.392,29,0.0,0.0,,3.0703479,Q4 2016,COMMUNICATIONS,13F,06/30/2019,4.4731
Axalta coating systems ltd,AXTA,"",24264000.0,722339000.0,0.347129,0.3066,30,0.0,0.0,,10.3427110,Q2 2015,MATERIALS,13F,06/30/2019,31.9191
