Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Investors bancorp inc,ISBC,"",27318628.0,304603000.0,17.8604,19.3651,1,-590000.0,-2.114042,reduction,9.6792191,Q1 2014,FINANCE,13F,06/30/2019,10.9972
Open text corp.,OTEX,"",6375120.0,262655000.0,15.4008,20.2194,2,-2610211.0,-29.049692,reduction,2.3719612,Q1 2017,COMMUNICATIONS,13F,06/30/2019,32.8808
Wesco international  inc,WCC,"",3990495.0,202119000.0,11.8513,12.3865,3,0.0,0.0,,8.8285288,Q3 2017,INDUSTRIALS,13F,06/30/2019,58.3254
Genesee & wyoming inc  class a,GWR,"",2007816.0,200782000.0,11.7729,9.0617,4,231882.0,13.056904,addition,3.5342651,Q2 2018,TRANSPORTS,13F,06/30/2019,84.2698
Madison square garden company,MSG,"",674800.0,188904000.0,11.0764,7.6913,5,226700.0,50.591386,addition,2.8400673,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,272.1135
Adient plc,ADNT,"",6550490.0,158980000.0,9.3218,4.971,6,0.0,0.0,,6.9976391,Q1 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,75.631
Mgm resorts international  inc.,MGM,"",4367016.0,124766000.0,7.3157,3.6399,7,1944500.0,80.267788,addition,0.8133457,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,26.6704
On semiconductor corp,ON,"",4327218.0,87453000.0,5.1278,4.7953,8,346000.0,8.690808,addition,1.0502956,Q4 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,20.8582
Penn national gaming inc.,PENN,"",3009075.0,57955000.0,3.3982,3.5415,9,0.0,0.0,,2.5753809,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,19.173
Medpace holdings inc,MEDP,"",725500.0,47462000.0,2.7829,,10,725500.0,,new,2.0254048,Q2 2019,HEALTH CARE,13F,06/30/2019,65.42
Zynga  inc.,ZNGA,"",4470500.0,27404000.0,1.6068,2.0194,11,-2000000.0,-30.909512,reduction,0.4779852,Q4 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,4.0203
Dave & busters entertainment inc,PLAY,"",669656.0,27101000.0,1.5891,,12,669656.0,,new,1.8291614,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,40.47
Itt inc. (international telephone and telegraph),ITT,"",233308.0,15277000.0,0.8958,0.7675,13,7308.0,3.233628,addition,0.2669428,Q4 2018,INDUSTRIALS,13F,06/30/2019,48.8091
Jack in the box  inc,JACK,"",0.0,0.0,,7.6174,"",-1604847.0,-100.0,soldall,0.0000000,Q1 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,77.7016
Boyd gaming corp.,BYD,"",0.0,0.0,,1.7238,"",-1076000.0,-100.0,soldall,0.0000000,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,20.78
Mednax inc,MD,"",0.0,0.0,,2.2003,"",-1383000.0,-100.0,soldall,0.0000000,Q3 2016,HEALTH CARE,13F,06/30/2019,53.6081
