Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Alphabet inc. class a,GOOGL,"",295782.0,320273000.0,17.0331,18.61,1,-18909.0,-6.008751,reduction,0.0425469,Q4 2017,COMMUNICATIONS,13F,06/30/2019,1064.4666
Berkshire hathaway inc class b,BRK.B,"",1259424.0,268471000.0,14.2781,,2,1259424.0,,new,0.0511657,Q2 2019,FINANCE,13F,06/30/2019,213.17
Jpmorgan chase & co. (chemical bank),JPM,"",2038845.0,227943000.0,12.1227,10.5222,3,-29719.0,-1.436697,reduction,0.0594076,Q3 2014,FINANCE,13F,06/30/2019,76.4696
Raymond james financial inc.,RJF,"",2432568.0,205674000.0,10.9384,9.9367,4,-26705.0,-1.08589,reduction,1.7247362,Q3 2018,FINANCE,13F,06/30/2019,89.7512
Lennar corp. class a,LEN,"",3374497.0,163528000.0,8.6969,8.9719,5,-262670.0,-7.22183,reduction,1.0441863,Q3 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,44.3267
Charles schwab corp,SCHW,"",3404870.0,136842000.0,7.2777,7.4299,6,-53087.0,-1.535213,reduction,0.2551955,Q3 2012,FINANCE,13F,06/30/2019,19.1836
Liberty global plc class c,LBTYK,"",4665619.0,123779000.0,6.5829,6.4351,7,-624149.0,-11.799175,reduction,0.6287049,Q1 2016,COMMUNICATIONS,13F,06/30/2019,33.053
Facebook inc,FB,"",577756.0,111507000.0,5.9303,7.0205,8,-260418.0,-31.069682,reduction,0.0202403,Q4 2018,COMMUNICATIONS,13F,06/30/2019,131.09
Citigroup  inc.,C,"",1388318.0,97224000.0,5.1707,4.4294,9,-28435.0,-2.007054,reduction,0.0540187,Q3 2018,FINANCE,13F,06/30/2019,70.225
Primerica inc,PRI,"",758386.0,90968000.0,4.838,7.7265,10,-500423.0,-39.753688,reduction,1.7911809,Q3 2011,FINANCE,13F,06/30/2019,41.1495
Antero resources corp,AR,"",11752158.0,64989000.0,3.4563,5.2979,11,-188116.0,-1.575475,reduction,3.8018109,Q2 2015,ENERGY,13F,06/30/2019,24.5865
D.r. horton  inc.,DHI,"",1267087.0,54649000.0,2.9064,2.6675,12,-15813.0,-1.232598,reduction,0.3393195,Q3 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,40.0639
Antero midstream partners lp,AM,"",667759.0,7653000.0,0.407,0.4336,13,41550.0,6.635165,addition,0.3564610,Q1 2019,ENERGY,13F,06/30/2019,
Frontdoor inc,FTDR,"",41368.0,1802000.0,0.0958,0.0716,14,0.0,0.0,,0.0489273,Q4 2018,INDUSTRIALS,13F,06/30/2019,26.61
Moodys corp,MCO,"",6875.0,1343000.0,0.0714,0.0626,15,0.0,0.0,,0.0036412,Q3 2018,FINANCE,13F,06/30/2019,160.1608
Comcast corp.  class a,CMCSA,"",31094.0,1315000.0,0.0699,0.0625,16,0.0,0.0,,0.0006695,Q4 2013,COMMUNICATIONS,13F,06/30/2019,26.2768
Alphabet inc. class c,GOOG,"",1100.0,1189000.0,0.0632,0.0664,17,-26.0,-2.309059,reduction,0.0001584,Q3 2018,COMMUNICATIONS,13F,06/30/2019,1183.6563
Lennar corp. class b,LEN.B,"",18920.0,729000.0,0.0388,0.0364,18,416.0,2.248163,addition,0.0058545,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,33.754
Bank of america corp. (north carolina national bank),BAC,"",14532.0,421000.0,0.0224,0.0201,19,0.0,0.0,,0.0001419,Q4 2013,FINANCE,13F,06/30/2019,15.57
Liberty global plc class a,LBTYA,"",0.0,0.0,,0.2905,"",-232019.0,-100.0,soldall,0.0000000,Q2 2016,COMMUNICATIONS,13F,06/30/2019,29.06
Alliance data systems corp,ADS,"",0.0,0.0,,9.9089,"",-1126962.0,-100.0,soldall,0.0000000,Q2 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,244.6934
