Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Red hat inc,RHT,"",1964024.0,368765000.0,5.5752,6.4216,1,-14465.0,-0.731113,reduction,1.1048740,Q4 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,175.9219
Celgene corp.,CELG,"",2889525.0,267108000.0,4.0383,3.9343,2,542022.0,23.0893,addition,0.4114023,Q1 2019,HEALTH CARE,13F,06/30/2019,93.9836
Anadarko petroleum corp.,APC,"",3667826.0,258802000.0,3.9127,0.3982,3,3175026.0,644.282873,addition,0.7341819,Q1 2018,ENERGY,13F,06/30/2019,67.0455
L3 technologies inc,LLL,"",866253.0,212379000.0,3.2109,3.0093,4,45433.0,5.535075,addition,1.0914111,Q1 2019,INDUSTRIALS,13F,06/30/2019,208.405
First data corp,FDC,"",5675000.0,153622000.0,2.3225,5.4287,5,-5957202.0,-51.213021,reduction,0.6013436,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,26.27
Tableau software inc,DATA,"",775442.0,128739000.0,1.9463,,6,775442.0,,new,0.8997935,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,166.02
Wabco holdings inc,WBC,"",876832.0,116268000.0,1.7578,0.4684,7,676832.0,338.416,addition,1.7065629,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,132.4244
Visa inc,V,"",603941.0,104814000.0,1.5846,1.3842,8,105098.0,21.068352,addition,0.0300860,Q2 2012,FINANCE,13F,06/30/2019,128.1091
Worldpay inc class a,WP,"",795000.0,97427000.0,1.473,2.1826,9,-287466.0,-26.556585,reduction,0.4472322,Q1 2019,INDUSTRIALS,13F,06/30/2019,113.5
Tribune media co,TRCO,"",2010000.0,92902000.0,1.4045,2.0836,10,-531936.0,-20.926412,reduction,2.2768464,Q4 2018,COMMUNICATIONS,13F,06/30/2019,45.5162
