Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Alteryx inc,AYX,"",650000.0,70928000.0,22.9759,23.2811,1,150000.0,30.0,addition,1.0393348,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,89.6969
Okta inc,OKTA,"",370000.0,45699000.0,14.8034,16.0755,2,20000.0,5.714286,addition,0.3297095,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,84.9343
Mongodb inc,MDB,"",275000.0,41825000.0,13.5485,8.1621,3,175000.0,175.0,addition,0.5000909,Q4 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,127.2355
Coupa software inc,COUP,"",280000.0,35451000.0,11.4837,10.1019,4,80000.0,40.0,addition,0.4565466,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,101.16
Everbridge inc,EVBG,"",330000.0,29509000.0,9.5589,10.4111,5,80000.0,32.0,addition,1.0021257,Q4 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,66.0602
Twilio inc,TWLO,"",160000.0,21816000.0,7.0669,7.1717,6,60000.0,60.0,addition,0.1267126,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,131.8688
Atlassian corp plc,TEAM,"",150000.0,19626000.0,6.3575,7.1756,7,35000.0,30.434783,addition,0.1412429,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,116.695
Pluralsight inc,PS,"",625000.0,18950000.0,6.1385,17.6211,8,-375000.0,-37.5,reduction,0.4513613,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,31.74
Smartsheet inc,SMAR,"",300000.0,14520000.0,4.7035,,9,300000.0,,new,0.2842524,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,48.4
Slack technologies inc,WORK,"",265000.0,9938000.0,3.2192,,10,265000.0,,new,0.1365346,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,37.5
Zoom video communications inc,ZM,"",5000.0,444000.0,0.1438,,11,5000.0,,new,0.0019502,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,88.79
