Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Liberty broadband corp class c,LBRDK,"",8044273.0,838374000.0,7.0912,8.1696,1,0.0,0.0,,4.4338163,Q2 2016,COMMUNICATIONS,13F,06/30/2019,60.0167
Servicenow inc,NOW,"",2743722.0,753343000.0,6.372,7.4168,2,25617.0,0.942458,addition,1.4789360,Q2 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,193.9022
Facebook inc,FB,"",3668030.0,707930000.0,5.9879,7.0132,3,-132557.0,-3.487803,reduction,0.1285004,Q3 2013,COMMUNICATIONS,13F,06/30/2019,109.4912
Microsoft corp.,MSFT,"",5234529.0,701217000.0,5.9311,5.3226,4,1157826.0,28.401039,addition,0.0679828,Q4 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,99.958
Netflix inc,NFLX,"",1690391.0,620914000.0,5.2519,6.6723,5,0.0,0.0,,0.3871716,Q4 2012,COMMUNICATIONS,13F,06/30/2019,102.9278
Anaplan inc,PLAN,"",12110110.0,611198000.0,5.1697,3.9461,6,3053613.0,33.717374,addition,9.5785098,Q4 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,32.574
Adobe systems  inc.,ADBE,"",2062126.0,607606000.0,5.1393,6.1525,7,-23394.0,-1.121735,reduction,0.4226101,Q3 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,247.1134
Mastercard inc,MA,"",2110825.0,558376000.0,4.7229,5.5018,8,0.0,0.0,,0.2057515,Q4 2018,FINANCE,13F,06/30/2019,221.45
Alibaba group holding ltd adr,BABA,"",3155011.0,534617000.0,4.522,6.2883,9,41603.0,1.336253,addition,0.1231873,Q3 2016,COMMUNICATIONS,13F,06/30/2019,125.9194
Amazon.com inc.,AMZN,"",271083.0,513331000.0,4.3419,7.0178,10,-84913.0,-23.852234,reduction,0.0551879,Q4 2009,CONSUMER DISCRETIONARY,13F,06/30/2019,1022.3498
Uber technologies inc,UBER,"",10459110.0,485094000.0,4.1031,,11,10459110.0,,new,0.6152418,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,46.38
Visa inc,V,"",2509981.0,435608000.0,3.6845,4.2304,12,63325.0,2.588227,addition,0.1250377,Q3 2018,FINANCE,13F,06/30/2019,148.6901
Paypal holdings inc,PYPL,"",3285462.0,376054000.0,3.1808,3.7526,13,20960.0,0.642058,addition,0.2796304,Q1 2016,COMMUNICATIONS,13F,06/30/2019,54.5211
