Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Netflix inc,NFLX,"",2528000.0,928585000.0,13.235,11.746,1,703000.0,38.520548,addition,0.5790197,Q4 2018,COMMUNICATIONS,13F,06/30/2019,295.374
Alibaba group holding ltd adr,BABA,"",4235000.0,717621000.0,10.2282,,2,4235000.0,,new,0.1653554,Q4 2018,COMMUNICATIONS,13F,06/30/2019,169.45
Jd.com inc adr,JD,"",22540000.0,682737000.0,9.731,7.6801,3,8428203.0,59.72452,addition,1.8721086,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,30.2023
Walt disney co. (the),DIS,"",3780000.0,527839000.0,7.5232,12.6664,4,-2540000.0,-40.189873,reduction,0.2535585,Q4 2018,COMMUNICATIONS,13F,06/30/2019,110.3815
Hilton worldwide holdings inc,HLT,"",5145000.0,502872000.0,7.1674,9.2202,5,-1001000.0,-16.287016,reduction,1.7676768,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,73.6152
Facebook inc,FB,"",2195000.0,423635000.0,6.038,6.0027,6,200000.0,10.025063,addition,0.0768964,Q1 2019,COMMUNICATIONS,13F,06/30/2019,169.0873
D.r. horton  inc.,DHI,"",7617690.0,328551000.0,4.6828,8.7728,7,-4127310.0,-35.140996,reduction,2.0399791,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,35.3866
Micron technology  inc.,MU,"",7150000.0,275919000.0,3.9326,1.4622,8,5190000.0,264.795918,addition,0.6460707,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,39.3411
Alphabet inc. class a,GOOGL,"",254000.0,275031000.0,3.92,5.5658,9,-8000.0,-3.053435,reduction,0.0365368,Q4 2018,COMMUNICATIONS,13F,06/30/2019,1049.5448
Guidewire software  inc.,GWRE,"",2355000.0,238750000.0,3.4029,3.5146,10,351000.0,17.51497,addition,2.8924097,Q4 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,83.3823
