Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Slack technologies inc,WORK,"",5305149.0,198943000.0,10.7101,,1,5305149.0,,new,2.7333448,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,37.5
Sea ltd adr,SE,"",4807200.0,159695000.0,8.59716,7.7461,2,-120679.0,-2.448903,reduction,1.4699119,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,23.52
Uber technologies inc,UBER,"",2591221.0,120181000.0,6.46993,,3,2591221.0,,new,0.1524248,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,46.38
Netflix inc,NFLX,"",303650.0,111537000.0,6.00458,7.3575,4,-5102.0,-1.652459,reduction,0.0695488,Q4 2018,COMMUNICATIONS,13F,06/30/2019,268.0493
Pinterest inc,PINS,"",3631426.0,98847000.0,5.32141,,5,3631426.0,,new,0.6693379,Q2 2019,COMMUNICATIONS,13F,06/30/2019,27.22
Amazon.com inc.,AMZN,"",51057.0,96683000.0,5.20491,6.2302,6,-1293.0,-2.469914,reduction,0.0103943,Q4 2014,CONSUMER DISCRETIONARY,13F,06/30/2019,653.604
Yandex n.v.,YNDX,"",2283921.0,86789000.0,4.67227,6.1711,7,-404979.0,-15.06114,reduction,0.7033292,Q1 2018,COMMUNICATIONS,13F,06/30/2019,36.3639
Lyft inc,LYFT,"",1312962.0,86275000.0,4.6446,3.3092,8,680500.0,107.595397,addition,0.4517952,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,71.7699
Farfetch ltd,FTCH,"",4024600.0,83712000.0,4.50662,6.4495,9,438453.0,12.226297,addition,1.3421597,Q3 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,24.5456
Twilio inc,TWLO,"",521920.0,71164000.0,3.8311,5.7174,10,-140330.0,-21.189883,reduction,0.4133365,Q4 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,89.3
Gds holdings ltd adr,GDS,"",1854100.0,69659000.0,3.75008,3.1037,11,552900.0,42.491546,addition,1.5788981,Q1 2019,COMMUNICATIONS,13F,06/30/2019,36.2506
Carbon black inc,CBLK,"",3779963.0,69248922.16,3.72801,,12,56042.0,1.504919,addition,5.2814908,,INFORMATION TECHNOLOGY,13G,07/11/2019,
Walt disney co. (the),DIS,"",466060.0,65081000.0,3.50363,,13,466060.0,,new,0.0312628,Q2 2019,COMMUNICATIONS,13F,06/30/2019,139.64
Match group inc,MTCH,"",938324.0,63121000.0,3.39811,3.5533,14,-876.0,-0.093271,reduction,0.3337687,Q2 2017,COMMUNICATIONS,13F,06/30/2019,42.77
Iac/interactivecorp,IAC,"",264960.0,57637000.0,3.10288,4.676,15,-68040.0,-20.432432,reduction,0.3192674,Q1 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,164.2925
Smartsheet inc,SMAR,"",1096264.0,53059000.0,2.85642,,16,1096264.0,,new,1.0387190,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,48.4
World wrestling entertainment inc,WWE,"",729630.0,52687000.0,2.8364,3.44,17,136495.0,23.012468,addition,0.9349436,Q4 2018,COMMUNICATIONS,13F,06/30/2019,74.2504
Microsoft corp.,MSFT,"",348850.0,46732000.0,2.51581,3.3121,18,-71350.0,-16.98001,reduction,0.0045306,Q4 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,92.9857
