Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Amazon.com inc.,AMZN,"",468035.0,886285000.0,8.98253,3.8029,1,285740.0,156.745934,addition,0.0952840,Q4 2014,CONSUMER DISCRETIONARY,13F,06/30/2019,1697.9872
Las vegas sands corp,LVS,"",7756025.0,458304000.0,4.64493,4.6287,2,1274389.0,19.661533,addition,1.0036134,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,55.1623
Alibaba group holding ltd adr,BABA,"",2607619.0,441861000.0,4.47828,3.752,3,852182.0,48.545291,addition,0.1018144,Q4 2015,COMMUNICATIONS,13F,06/30/2019,178.2015
Netflix inc,NFLX,CALL,1070000.0,393032000.0,3.98339,3.4251,4,250000.0,30.487805,addition,N/A,Q4 2018,COMMUNICATIONS,13F,06/30/2019,
Worldpay inc class a,WP,"",3075661.0,376922000.0,3.82012,4.4886,5,-300174.0,-8.891845,reduction,1.7302323,Q3 2018,INDUSTRIALS,13F,06/30/2019,108.4961
Servicenow inc,NOW,"",1370677.0,376347000.0,3.81429,4.1916,6,-80933.0,-5.575396,reduction,0.7388298,Q4 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,213.6434
Pagseguro digital ltd,PAGS,"",9462327.0,368747000.0,3.73726,3.5178,7,-597658.0,-5.940943,reduction,2.8867040,Q1 2018,FINANCE,13F,06/30/2019,28.8347
Mastercard inc,MA,"",1270384.0,336055000.0,3.40593,3.7245,8,-79952.0,-5.920897,reduction,0.1238300,Q3 2016,FINANCE,13F,06/30/2019,166.5794
Ferrari n.v.,RACE,"",1746850.0,281977000.0,2.85785,2.3289,9,261016.0,17.566969,addition,0.9245038,Q2 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,136.8378
Adobe systems  inc.,ADBE,"",936040.0,275804000.0,2.79528,3.3724,10,-144224.0,-13.350811,reduction,0.1918311,Q3 2015,INFORMATION TECHNOLOGY,13F,06/30/2019,226.24
Mcdonalds corp.,MCD,"",1270383.0,263808000.0,2.6737,1.0011,11,820383.0,182.307333,addition,0.1659937,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,201.369
