Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Blackstone group inc,BX,"",973647.0,43249000.0,17.5332,8.8595,1,52100.0,5.653537,addition,0.1478381,Q1 2015,FINANCE,13F,06/30/2019,34.5114
Microsoft corp.,MSFT,"",226540.0,30347000.0,12.3027,6.5835,2,23500.0,11.574074,addition,0.0029422,Q2 2016,INFORMATION TECHNOLOGY,13F,06/30/2019,73.0096
Facebook inc,FB,"",127765.0,24659000.0,9.9968,5.3208,3,11655.0,10.037895,addition,0.0044759,Q4 2013,COMMUNICATIONS,13F,06/30/2019,160.9753
Microsoft corp.,MSFT,CALL,179000.0,23979000.0,9.7211,,4,179000.0,,new,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,
Apollo global management llc,APO,"",414402.0,14214000.0,5.7624,5.3549,5,-275100.0,-39.898361,reduction,0.2066534,Q2 2017,FINANCE,13F,06/30/2019,27.7213
Controladora vuela co de aviacion s.a.b. de c.v. adr,VLRS,"",1469199.0,13781000.0,5.5868,4.9865,6,-659634.0,-30.985709,reduction,1.4519211,Q3 2015,TRANSPORTS,13F,06/30/2019,10.2285
Alphabet inc. class c,GOOG,"",12001.0,12972000.0,5.2589,4.3872,7,-1600.0,-11.763841,reduction,0.0017287,Q2 2014,COMMUNICATIONS,13F,06/30/2019,759.4297
Applied materials inc.,AMAT,"",255700.0,11483000.0,4.6552,,8,255700.0,,new,0.0269331,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,44.91
Micron technology  inc.,MU,"",287400.0,11091000.0,4.4963,,9,287400.0,,new,0.0259693,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,38.59
Alibaba group holding ltd adr,BABA,"",64000.0,10845000.0,4.3966,3.2102,10,0.0,0.0,,0.0024989,Q2 2017,COMMUNICATIONS,13F,06/30/2019,162.7994
Adobe systems  inc.,ADBE,"",34700.0,10224000.0,4.1448,4.308,11,-24100.0,-40.986395,reduction,0.0071114,Q1 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,135.9789
Qualcomm inc.,QCOM,"",123500.0,9395000.0,3.8087,,12,123500.0,,new,0.0102040,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,76.07
Ooma inc,OOMA,"",868166.0,9098000.0,3.6883,3.1602,13,0.0,0.0,,4.2082695,Q2 2017,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,8.5337
Ryanair holdings adr,RYAAY,"",97296.0,6241000.0,2.5301,2.0044,14,0.0,0.0,,0.0415387,Q2 2009,TRANSPORTS,13F,06/30/2019,34.5878
Delta air lines inc.,DAL,"",91260.0,5179000.0,2.0996,1.296,15,0.0,0.0,,0.0134413,Q3 2013,TRANSPORTS,13F,06/30/2019,35.2931
Alphabet inc. class a,GOOGL,"",2745.0,2972000.0,1.2049,0.8883,16,0.0,0.0,,0.0003949,Q2 2010,COMMUNICATIONS,13F,06/30/2019,461.1127
Royal caribbean cruises ltd,RCL,"",17590.0,2132000.0,0.8643,0.5542,17,0.0,0.0,,0.0084086,Q1 2016,CONSUMER DISCRETIONARY,13F,06/30/2019,99.9028
Spotify technology sa,SPOT,"",12101.0,1769000.0,0.7172,0.4047,18,1499.0,14.138842,addition,0.0067941,Q2 2018,COMMUNICATIONS,13F,06/30/2019,161.3205
Iqvia holdings inc,IQV,"",6600.0,1062000.0,0.4305,0.2609,19,0.0,0.0,,0.0033462,Q2 2017,HEALTH CARE,13F,06/30/2019,90.4042
Alpine immune sciences inc,ALPN,"",137728.0,580000.0,0.2351,0.2598,20,0.0,0.0,,0.7416694,Q3 2015,HEALTH CARE,13F,06/30/2019,51.88
Ishares 1-3 year treasury bond etf,SHY,"",6408.0,543000.0,0.2201,0.3744,21,-9779.0,-60.412677,reduction,No Data,Q1 2014,FINANCE,13F,06/30/2019,84.45
Sealed air corp.,SEE,"",11963.0,512000.0,0.2076,0.1515,22,0.0,0.0,,0.0076809,Q2 2009,MATERIALS,13F,06/30/2019,23.7046
Carnival corp.,CCL,"",7350.0,342000.0,0.1386,0.1025,23,0.0,0.0,,0.0013948,Q1 2014,CONSUMER DISCRETIONARY,13F,06/30/2019,37.86
Jpmorgan chase & co. (chemical bank),JPM,CALL,0.0,0.0,,21.0896,"",-757800.0,-100.0,soldall,N/A,Q3 2018,FINANCE,13F,06/30/2019,
Bank of america corp. (north carolina national bank),BAC,CALL,0.0,0.0,,24.272,"",-3200000.0,-100.0,soldall,N/A,Q1 2018,FINANCE,13F,06/30/2019,
Camping world holdings inc,CWH,"",0.0,0.0,,2.171,"",-567737.0,-100.0,soldall,0.0000000,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,13.91
